"Año","Mes","Provincia","Tramo de edad Víctima","Tramo de edad Agresor","Número de mujeres víctimas mortales"
"Año 2008","Agosto","Valencia/València","41-50 años","31-40 años","1.0"
"Año 2008","Agosto","Pontevedra","21-30 años","41-50 años","1.0"
"Año 2008","Agosto","Madrid","51-60 años","51-60 años","1.0"
"Año 2008","Agosto","Navarra","51-60 años","71-84 años","1.0"
"Año 2008","Agosto","Araba/Álava","61-70 años","61-70 años","1.0"
"Año 2008","Septiembre","Málaga","21-30 años","21-30 años","1.0"
"Año 2008","Septiembre","Illes Balears","21-30 años","31-40 años","1.0"
"Año 2008","Septiembre","Valladolid","21-30 años","21-30 años","1.0"
"Año 2008","Septiembre","Valladolid","41-50 años","41-50 años","1.0"
"Año 2008","Septiembre","Barcelona","41-50 años","41-50 años","1.0"
"Año 2008","Septiembre","Valencia/València","31-40 años","31-40 años","1.0"
"Año 2008","Septiembre","Madrid","61-70 años","61-70 años","1.0"
"Año 2008","Octubre","Cádiz","31-40 años","31-40 años","1.0"
"Año 2008","Octubre","Granada","31-40 años","31-40 años","1.0"
